City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code,Date
0,athabasca,50.5932,32.3876,10.0,92,71,5.41,UA,1615439517
1,athabasca,-16.7833,-151.5,82.31,73,94,11.01,PF,1615439528
2,athabasca,22.2855,114.1577,79.0,80,79,4.0,HK,1615438750
3,athabasca,-33.65,115.3333,73.99,81,100,1.99,AU,1615439395
4,athabasca,-41.8697,-73.8203,50.0,100,0,6.91,CL,1615439149
5,athabasca,-33.918,25.5701,64.0,94,99,1.01,ZA,1615439291
6,athabasca,-42.8794,147.3294,73.0,56,75,13.8,AU,1615439350
7,athabasca,-34.5322,20.0403,57.99,96,76,2.08,ZA,1615439395
8,athabasca,5.4112,100.3354,91.4,49,20,5.75,MY,1615439078
9,athabasca,-9.8,-139.0333,79.63,66,88,14.63,PF,1615439530
10,athabasca,-54.8,-68.3,42.8,70,75,20.71,AR,1615439530
11,athabasca,71.9667,102.5,-14.66,87,100,22.91,RU,1615439060
12,athabasca,73.5069,80.5464,-9.63,90,100,21.41,RU,1615439531
13,athabasca,-2.5744,150.7967,84.09,64,48,6.2,PG,1615439531
14,athabasca,55.1001,-105.2842,5.0,47,62,4.61,CA,1615439050
15,athabasca,-23.1203,-134.9692,79.25,75,47,19.19,PF,1615439411
16,athabasca,-29.9533,-71.3436,60.8,88,0,3.56,CL,1615439054
17,athabasca,39.9256,9.6572,48.2,49,0,12.66,IT,1615439532
18,athabasca,7.9178,98.3332,89.6,48,20,10.36,TH,1615439533
19,athabasca,49.6668,-103.8511,28.4,86,98,18.41,CA,1615439533
20,athabasca,3.4836,103.3996,84.2,74,40,8.05,MY,1615439534
21,athabasca,-46.1333,167.6833,57.99,62,3,7.0,NZ,1615439534
22,athabasca,-46.1927,168.8643,57.99,62,26,7.0,NZ,1615439535
23,athabasca,38.5167,-28.7,58.23,83,100,15.77,PT,1615439344
24,athabasca,-7.3619,-46.6172,71.69,93,100,1.74,BR,1615439535
25,athabasca,-16.4833,-151.75,82.27,74,73,10.8,PF,1615439536
26,athabasca,4.3133,22.5552,70.61,76,99,1.79,CF,1615439536
27,athabasca,-21.2,-175.2,78.8,73,40,6.91,TO,1615439537
28,athabasca,48.6314,-2.0614,51.8,71,75,26.46,FR,1615439537
29,athabasca,-38.0023,-57.5575,66.99,88,0,5.75,AR,1615439293
30,athabasca,48.5872,57.1869,1.54,93,80,12.88,KZ,1615439538
31,athabasca,33.0833,-16.3333,59.0,72,75,10.36,PT,1615439538
32,athabasca,19.7297,-155.09,73.4,83,90,4.61,US,1615439332
33,athabasca,37.7167,-25.4333,60.8,88,75,14.97,PT,1615439033
34,athabasca,71.2906,-156.7887,-9.4,70,1,13.8,US,1615439539
35,athabasca,62.0989,126.6992,7.11,91,100,10.4,RU,1615439540
36,athabasca,-24.7911,-50.0119,57.07,91,0,1.88,BR,1615439421
37,athabasca,77.484,-69.3632,4.89,78,0,5.03,GL,1615439053
38,athabasca,-16.7,-151.0167,82.0,77,6,12.44,PF,1615439540
39,athabasca,22.6163,120.3133,80.6,54,20,11.5,TW,1615439541
40,athabasca,-8.5785,13.6643,80.6,83,40,4.61,AO,1615439541
41,athabasca,53.4106,-2.9779,50.0,81,75,27.63,GB,1615439541
42,athabasca,0.0847,-76.8828,69.85,91,99,1.28,EC,1615439542
43,athabasca,-28.45,18.7333,61.48,76,0,1.34,NA,1615439542
44,athabasca,24.8,125.2833,77.0,64,20,14.97,JP,1615439475
45,athabasca,46.4333,26.4,26.01,67,99,1.59,RO,1615439141
46,athabasca,0.0487,18.2603,71.58,93,76,2.48,CD,1615439543
47,athabasca,-34.4187,19.2345,57.99,96,85,5.32,ZA,1615439543
48,athabasca,42.6001,-73.9662,43.0,80,68,3.0,US,1615439511
49,athabasca,-21.3585,55.7679,82.4,69,40,20.71,RE,1615439544
50,athabasca,65.282,-126.8329,12.2,67,75,12.66,CA,1615439036
51,athabasca,-53.15,-70.9167,46.4,76,75,34.52,CL,1615439539
52,athabasca,21.3469,-158.0858,71.01,94,90,6.91,US,1615439545
53,athabasca,-34.0033,24.7314,64.0,94,100,1.01,ZA,1615439121
54,athabasca,9.4942,50.8122,78.85,70,40,10.8,SO,1615439317
55,athabasca,64.1835,-51.7216,21.2,73,75,2.3,GL,1615439072
56,athabasca,10.9995,122.6711,81.46,75,72,16.62,PH,1615439070
57,athabasca,55.7435,-97.8558,1.4,78,90,13.8,CA,1615438930
58,athabasca,42.097,-79.2353,57.2,30,75,14.67,US,1615439546
59,athabasca,66.1451,-65.7125,-14.39,84,100,2.42,CA,1615439068
60,athabasca,4.1363,96.1285,88.03,52,16,2.66,ID,1615439046
61,athabasca,69.7008,170.3133,-15.54,79,0,17.07,RU,1615439547
62,athabasca,-33.9258,18.4232,61.0,88,20,3.44,ZA,1615439547
63,athabasca,1.3292,172.9752,82.4,74,75,6.91,KI,1615439548
64,athabasca,-28.7667,114.6,84.2,58,31,17.27,AU,1615439025
65,athabasca,9.9167,8.9,66.43,71,100,5.35,NG,1615439120
66,athabasca,31.5322,75.9172,82.35,22,60,4.16,IN,1615439549
67,athabasca,-33.0153,27.9116,70.84,80,12,12.26,ZA,1615439549
68,athabasca,70.8578,29.0864,12.2,73,0,18.41,NO,1615439453
69,athabasca,-21.2078,-159.775,78.8,83,75,3.44,CK,1615439550
70,athabasca,46.6166,10.7002,35.01,80,0,2.37,IT,1615439550
71,athabasca,41.7597,86.1469,56.97,35,76,3.36,CN,1615439551
72,athabasca,-42.7826,147.0587,73.0,39,54,3.0,AU,1615439551
73,athabasca,-6.9811,-34.8339,75.2,100,20,4.61,BR,1615439170
74,athabasca,66.0449,-17.3389,30.2,93,90,21.85,IS,1615439044
75,athabasca,-43.5333,172.6333,61.0,59,20,13.8,NZ,1615439107
76,athabasca,32.6667,-17.1,55.99,71,30,3.0,PT,1615439552
77,athabasca,4.8845,-1.7554,79.32,88,45,7.09,GH,1615439553
78,athabasca,31.6725,38.6637,57.2,44,0,6.91,SA,1615439553
79,athabasca,69.2167,-51.1,17.6,73,75,3.31,GL,1615439027
80,athabasca,30.4833,-115.95,54.82,71,4,7.65,MX,1615439554
81,athabasca,-33.8667,121.9,80.6,50,100,13.8,AU,1615439481
